merchant_name,categoria
AMERICANAS COM,Varejo
DROGARIA RAIA *TRIP 808,Saude
APPLE BRASIL RECEB 513,Varejo
APPLE BRASIL SA 180,Varejo
MICROSOFT 848,Servicos
PADARIA DO SEU ZE RECEB,Alimentacao
DROGARIA RAIA SA,Saude
SPOTIFY COM,Entretenimento
AWS BRASIL RECEB 946,Servicos
CINESYSTEM COM,Lazer
DISNEY PLUS RECEB 877,Entretenimento
RIACHUELO,Varejo
RIACHUELO SA 652,Varejo
APPLE BRASIL 326,Varejo
DROGASIL SA 717,Saude
LOGGI COM 292,Transporte
AMAZON PRIME *TRIP,Entretenimento
MAGAZINE LUIZA LTDA,Varejo
99 TAXI LTDA,Transporte
RIACHUELO PAG,Varejo
LOGGI LTDA,Transporte
CARREFOUR COM,Supermercado
MICROSOFT *TRIP 670,Servicos
RIACHUELO PAG,Varejo
CARREFOUR RECEB,Supermercado
SUBWAY RECEB,Varejo
RIACHUELO PAG,Supermercado
UBER DO BRASIL SA,Transporte
SUBWAY,Alimentacao
AMAZON PRIME COM,Entretenimento
GOOGLE CLOUD RECEB,Servicos
APPLE BRASIL COM 299,Varejo
SPOTIFY PAG 103,Entretenimento
AMAZON BRASIL SA,Varejo
RIACHUELO SA,Varejo
AMAZON PRIME *TRIP,Entretenimento
BURGER KING COM,Supermercado
MAGAZINE LUIZA *TRIP,Varejo
AMAZON PRIME SA,Entretenimento
MICROSOFT RECEB 267,Servicos
NETSHOES *TRIP,Varejo
UBER DO BRASIL COM 786,Transporte
POSTO IPIRANGA RECEB,Combustivel
PLAYARTE *TRIP 333,Lazer
POSTO IPIRANGA *TRIP,Combustivel
AWS BRASIL COM,Servicos
AWS BRASIL SA,Servicos
SUBWAY,Alimentacao
SAMSUNG BRASIL LTDA,Varejo
NETSHOES SA,Varejo
GOOGLE CLOUD COM,Servicos
IFOOD COM BR *TRIP,Alimentacao
SPOTIFY LTDA,Entretenimento
CINEMARK LTDA,Lazer
MAGAZINE LUIZA PAG,Varejo
AMAZON PRIME *TRIP,Entretenimento
NETSHOES PAG,Varejo
UBER DO BRASIL *TRIP,Transporte
AWS BRASIL SA,Servicos
MCDONALDS *TRIP,Fintech
DISNEY PLUS RECEB,Entretenimento
DROGARIA RAIA RECEB,Saude
NETSHOES PAG,Varejo
GLOBO PLAY PAG 723,Entretenimento
MAGAZINE LUIZA *TRIP,Varejo
FARMACIA SAO PAULO,Saude
GITHUB LTDA 307,Servicos
GITHUB RECEB,Servicos
CINEMARK RECEB,Lazer
MERCADO PAGO LTDA,Fintech
APPLE BRASIL 472,Varejo
DISNEY PLUS PAG,Entretenimento
CARREFOUR *TRIP,Supermercado
MCDONALDS PAG,Alimentacao
SAMSUNG BRASIL LTDA,Varejo
DISNEY PLUS,Entretenimento
SPOTIFY,Entretenimento
GLOBO PLAY RECEB,Entretenimento
PLAYARTE PAG,Lazer
SAMSUNG BRASIL COM,Varejo
GITHUB LTDA,Servicos
HOTEL TIVOLI COM,Viagem
MAGAZINE LUIZA *TRIP 614,Varejo
LOGGI *TRIP,Transporte
APPLE BRASIL SA,Varejo
DROGASIL PAG,Saude
AMAZON BRASIL *TRIP 398,Varejo
HBO MAX SA 647,Entretenimento
DROGASIL SA 965,Saude
GOOGLE CLOUD *TRIP,Servicos
LOGGI COM,Transporte
PADARIA DO SEU ZE RECEB,Alimentacao
MERCADO PAGO 523,Fintech
DROGARIA RAIA COM,Saude
SPOTIFY *TRIP,Entretenimento
MERCADO PAGO RECEB,Fintech
SPOTIFY RECEB,Entretenimento
SUBWAY LTDA,Alimentacao
AMERICANAS,Varejo
CARREFOUR LTDA,Supermercado
CINEMARK *TRIP,Lazer
CARREFOUR RECEB,Supermercado
NETFLIX LTDA 28,Entretenimento
GOOGLE CLOUD LTDA,Servicos
LOGGI COM,Transporte
NETFLIX 996,Entretenimento
CABIFY COM 830,Transporte
AMAZON PRIME SA,Entretenimento
MERCADO PAGO 234,Fintech
99 TAXI *TRIP,Transporte
AIRBNB COM 783,Viagem
HOTEL TRANSMERICA SA 394,Viagem
FARMACIA SAO PAULO *TRIP 711,Saude
SAMSUNG BRASIL COM 309,Varejo
CABIFY PAG,Transporte
SPOTIFY RECEB 857,Fintech
AMERICANAS SA 571,Varejo
AIRBNB *TRIP,Saude
NETSHOES LTDA 840,Varejo
HOTEL TRANSMERICA COM,Viagem
SAMSUNG BRASIL COM,Transporte
NETSHOES PAG 119,Varejo
SUBWAY SA,Alimentacao
AWS BRASIL SA,Servicos
NETFLIX 139,Entretenimento
GOOGLE CLOUD COM 8,Servicos
DROGASIL COM,Saude
UBER DO BRASIL COM,Transporte
NETFLIX *TRIP,Entretenimento
NETSHOES COM,Varejo
GLOBO PLAY LTDA,Entretenimento
MICROSOFT,Servicos
CINESYSTEM COM 322,Lazer
POSTO IPIRANGA LTDA,Combustivel
PLAYARTE LTDA,Lazer
HBO MAX *TRIP,Combustivel
BURGER KING SA,Alimentacao
DISNEY PLUS *TRIP,Entretenimento
GITHUB SA,Servicos
99 TAXI COM,Transporte
UBER DO BRASIL PAG,Transporte
HBO MAX *TRIP,Entretenimento
CINESYSTEM,Lazer
AWS BRASIL COM,Servicos
PLAYARTE RECEB,Lazer
PLAYARTE COM 269,Lazer
GITHUB COM 660,Servicos
IFOOD COM BR SA 636,Alimentacao
AMERICANAS LTDA,Varejo
HOTEL TIVOLI PAG 868,Viagem
GITHUB SA,Servicos
NETFLIX PAG 97,Entretenimento
DISNEY PLUS LTDA 394,Entretenimento
GOOGLE CLOUD COM 370,Servicos
IFOOD COM BR,Servicos
AWS BRASIL RECEB,Servicos
SPOTIFY *TRIP,Entretenimento
GOOGLE CLOUD RECEB,Servicos
GITHUB,Servicos
BURGER KING COM,Alimentacao
CINESYSTEM *TRIP,Lazer
IFOOD COM BR RECEB 938,Alimentacao
MCDONALDS 328,Alimentacao
PADARIA DO SEU ZE *TRIP 380,Alimentacao
AMAZON PRIME 254,Entretenimento
AMAZON PRIME COM 334,Entretenimento
DROGASIL PAG,Saude
DROGARIA RAIA *TRIP 219,Saude
AMAZON PRIME COM,Entretenimento
DROGARIA RAIA RECEB,Saude
HOTEL TIVOLI *TRIP,Viagem
APPLE BRASIL RECEB,Varejo
SUBWAY LTDA,Alimentacao
POSTO IPIRANGA COM,Combustivel
CABIFY *TRIP,Transporte
NETSHOES *TRIP,Varejo
POSTO IPIRANGA PAG,Combustivel
CABIFY RECEB,Transporte
CINEMARK *TRIP 317,Lazer
AMAZON BRASIL SA,Varejo
GOOGLE CLOUD PAG,Servicos
NETFLIX,Entretenimento
POSTO IPIRANGA RECEB,Combustivel
HOTEL TIVOLI RECEB,Viagem
SUBWAY LTDA,Alimentacao
DROGARIA RAIA,Saude
MICROSOFT LTDA,Servicos
AMAZON BRASIL LTDA 168,Varejo
MICROSOFT RECEB,Servicos
MERCADO PAGO,Fintech
PAGBANCO LTDA,Fintech
PADARIA DO SEU ZE,Alimentacao
GOOGLE CLOUD COM 746,Servicos
AMAZON PRIME RECEB,Entretenimento
GLOBO PLAY PAG,Entretenimento
UBER DO BRASIL PAG,Transporte
CABIFY *TRIP,Transporte
AWS BRASIL RECEB,Servicos
CARREFOUR *TRIP,Supermercado
BURGER KING *TRIP 313,Alimentacao
BURGER KING LTDA 612,Alimentacao
CINEMARK RECEB,Lazer
PAGBANCO COM,Lazer
AIRBNB SA 366,Viagem
MCDONALDS LTDA,Alimentacao
CARREFOUR *TRIP,Supermercado
AIRBNB PAG,Viagem
BURGER KING COM,Alimentacao
GITHUB COM,Servicos
MERCADO PAGO LTDA 713,Fintech
AMAZON PRIME COM,Entretenimento
SPOTIFY COM,Entretenimento
CABIFY *TRIP,Transporte
BURGER KING *TRIP 155,Lazer
FARMACIA SAO PAULO SA 122,Saude
DROGASIL SA,Saude
AWS BRASIL SA,Servicos
BURGER KING RECEB,Alimentacao
PADARIA DO SEU ZE RECEB,Alimentacao
AWS BRASIL,Servicos
CINEMARK RECEB 865,Lazer
HOTEL TIVOLI RECEB,Viagem
99 TAXI SA 581,Transporte
IFOOD COM BR PAG,Alimentacao
GLOBO PLAY SA,Entretenimento
AMERICANAS LTDA,Varejo
AIRBNB,Viagem
DROGASIL COM 663,Saude
CINEMARK PAG 33,Transporte
99 TAXI COM,Transporte
DISNEY PLUS *TRIP,Entretenimento
